text,emotion,intent
"Hey, how are you doing today?",calm,greet
"Good morning, I hope you slept well",calm,greet
"Hi, I wanted to check in",calm,greet
"See you later, take care",calm,farewell
Thanks for your help earlier,satisfaction,thank
Sorry for the late reply,guilt,apologize
I finished my assignment last night,satisfaction,inform
I've been studying for most of the day,mental_fatigue,inform
I still have a lot of work left,overwhelm,inform
I made some progress on the project,optimism,express_progress
I feel more confident about this topic now,self_efficacy,express_confidence
Can you explain this concept again?,confusion,seek_help
I'm not sure how to start this task,anxiety,seek_advice
What should I focus on first?,overwhelm,decision_making
Do you think this approach makes sense?,uncertainty,seek_advice
How do I manage my time better?,stress,seek_advice
I'm really struggling to concentrate,mental_fatigue,express_difficulty
This problem keeps confusing me,confusion,express_difficulty
I'm getting frustrated with this task,frustration,express_frustration
I feel stuck and unmotivated,discouragement,express_difficulty
I can't seem to make progress,frustration,express_difficulty
I feel stressed thinking about deadlines,stress,self_reflection
I'm anxious about tomorrow,anxiety,self_reflection
I just feel overwhelmed right now,overwhelm,self_reflection
I feel calm after finishing everything,relief,express_relief
I'm actually enjoying this topic,curiosity,express_progress
I plan to study for two hours tonight,motivation,planning
I need to decide what to work on first,overwhelm,decision_making
I want to set goals for tomorrow,optimism,planning
I'm thinking of revising the basics again,confusion,planning
I should probably take a short break,mental_fatigue,decision_making
I'm proud of myself for trying,satisfaction,self_reflection
I feel more focused than yesterday,focus,express_progress
I'm motivated to keep going,motivation,motivation_seeking
I believe I can finish this,self_efficacy,express_confidence
Things are starting to make sense,clarity,express_relief
Please help me review this topic,confusion,request
Can you suggest a better approach?,frustration,seek_advice
I need guidance on this task,anxiety,seek_help
Remind me to take breaks,mental_fatigue,request
Help me stay focused,boredom,motivation_seeking
"Yes, that makes sense now",clarity,affirm
"No, I still don't understand",confusion,deny
That approach worked well,satisfaction,affirm
I don't think that will help,frustration,deny
"I’ve just been feeling off lately",discouragement,venting
"Nothing bad happened, I just feel low",apathy,venting
"It’s been one of those days",mental_fatigue,venting
"I don’t really know why I feel this way",confusion,self_reflection
"There’s so much expected of me right now",pressure,venting
"I feel stressed even when I try to relax",stress,emotion_regulation
"I need a way to calm myself down",anxiety,coping
"I want to stop overthinking everything",worry,emotion_regulation
"Do you think I’m doing okay?",self_doubt,seeking_reassurance
"I’m worried I’m falling behind",anxiety,seeking_reassurance
"Is it normal to feel like this?",uncertainty,confirmation_seeking
"Am I approaching this the right way?",doubt,confirmation_seeking
"I need to manage my time better",overwhelm,time_management
"My schedule feels out of control",stress,time_management
"I want to build a better routine",motivation,habit_building
"I’m trying to stay consistent",determination,habit_building
"I want to set small goals for today",motivation,goal_setting
"I think I did better than last time",satisfaction,evaluation
"This feels easier than before",confidence,evaluation
"I’m not sure if this is working",uncertainty,evaluation
"I should probably reflect on what went wrong",reflective,self_reflection
"I feel really engaged with this task",engagement,express_progress
"I lost track of time working",flow,express_progress
"I want to keep this momentum going",motivation,planning
"I feel clear about what to do next",clarity,decision_making
"I’m getting irritated by small things",irritation,venting
"I need to step back before I snap",anger,emotion_regulation
"I can’t keep pushing myself like this",burnout,boundary_setting
"I need to slow things down",mental_fatigue,boundary_setting
"I feel disconnected from everyone",loneliness,venting
"I don’t really have anyone to talk to",loneliness,seeking_support
"I avoid reaching out even when I need help",avoidance,self_reflection
"I feel calmer after thinking it through",calm,emotion_regulation
"That took a weight off my mind",relief,express_relief
"I’m okay with taking it slow today",balance,boundary_setting
"I feel grounded again",grounded,emotion_regulation
"So you’re saying I should take breaks?",clarity,confirmation_seeking
"That explanation helped a lot",satisfaction,affirm
"Okay, I understand now",clarity,affirm
"That makes more sense",clarity,affirm
"Hi there, I wanted to talk for a bit",calm,greet
"Hey, are you free right now?",calm,greet
"Good evening, I need some help",neutral,greet
"Hello, can I ask you something?",neutral,greet
"Nice to hear from you",calm,affirm
"I studied for two hours earlier",mental_fatigue,inform
"I didn’t manage to finish everything today",discouragement,inform
"I’ve been working on this since morning",stress,inform
"I finally completed the task",relief,inform
"I made some progress but not much",overwhelm,inform
"I reviewed most of the material",satisfaction,inform
"What does this topic actually mean?",confusion,question
"Is this the right way to approach it?",uncertainty,question
"Should I focus on theory or practice first?",overwhelm,decision_making
"Am I doing this correctly?",anxiety,question
"Does this seem realistic to you?",uncertainty,seek_advice
"I don’t know how to start this task",overwhelm,seek_help
"I’m really unsure what to do next",confusion,seek_help
"Can you suggest a better approach?",frustration,seek_advice
"I need guidance on managing my time",stress,seek_advice
"What would you recommend I do now?",decision_making,seek_advice
"I'm struggling to stay focused",mental_fatigue,express_difficulty
"This is harder than I expected",frustration,express_difficulty
"I feel stuck and can’t move forward",discouragement,express_difficulty
"I keep running into problems",frustration,express_frustration
"I'm annoyed that I don't get this",anger,express_frustration
"I feel overwhelmed by everything right now",overwhelm,self_reflection
"I'm anxious about how this will turn out",anxiety,self_reflection
"I feel calmer after taking a break",calm,self_reflection
"I'm disappointed in my progress",guilt,self_reflection
"I feel relieved now that it's done",relief,self_reflection
"I plan to revise again tonight",motivation,planning
"I need to decide what to work on first",overwhelm,decision_making
"I'm thinking of breaking this into steps",clarity,planning
"I should probably take a short break",mental_fatigue,decision_making
"I want to set goals for tomorrow",optimism,planning
"I'm motivated to keep going",motivation,motivation_seeking
"I think I can handle this task",self_efficacy,express_confidence
"I feel more confident than before",self_efficacy,express_confidence
"I'm starting to enjoy this process",engagement,express_progress
"I believe I can finish this today",optimism,express_confidence
"I'm making steady progress now",satisfaction,express_progress
"Things are starting to make sense",clarity,express_progress
"I understand this part much better",clarity,affirm
"That explanation really helped",relief,affirm
"I'm happy with how this turned out",satisfaction,express_progress
"Please help me stay focused",boredom,request
"Can you walk me through this?",confusion,request
"I need a reminder to take breaks",mental_fatigue,request
"Help me plan my study time",stress,request
"Could you suggest what to do next?",overwhelm,request
"Thanks for explaining that",satisfaction,thank
"I really appreciate your help",gratitude,thank
"Sorry for asking so many questions",guilt,apologize
"I apologize for the delay",guilt,apologize
"Thank you, that was useful",relief,thank
"I don't think that approach will work",frustration,deny
"No, that still doesn't make sense",confusion,deny
"I’m not convinced this is the best option",uncertainty,deny
"That didn’t really help me",discouragement,deny
"I don’t feel ready for that yet",anxiety,deny
"I’ll try this and come back later",optimism,farewell
"I need to take a break now",mental_fatigue,farewell
"Talk to you later",calm,farewell
"Thanks again, I’m done for now",relief,farewell
"I’ll continue this tomorrow",planning,farewell
