Emotion,Intensity,Context,Action,Category,Reason
stress,high,work,5-minute breathing exercise,rest,Reduces physiological stress
stress,medium,study,short walk,physical,Improves mental clarity
stress,low,daily,stretch neck and shoulders,physical,Releases tension
stress,high,deadline,break task into 10-minute blocks,focus,Reduces overwhelm
stress,medium,study,listen to instrumental music,focus,Calms cognitive load
stress,high,work,write top 3 worries down,reflection,Externalizes stress
stress,medium,daily,drink water slowly,rest,Activates calming response
stress,high,exam,do box breathing,rest,Regulates nervous system
stress,low,home,organize workspace,focus,Restores sense of control
stress,medium,work,step away from screen for 5 minutes,rest,Reduces mental fatigue
anxiety,high,social,grounding 5-4-3-2-1 exercise,rest,Reduces anxious thoughts
anxiety,medium,study,review known material,focus,Builds confidence
anxiety,high,exam,slow breathing 4-6 pattern,rest,Reduces heart rate
anxiety,medium,work,write a small action step,focus,Creates momentum
anxiety,low,daily,stretch legs,physical,Releases nervous energy
anxiety,high,social,delay decision for 10 minutes,reflection,Prevents impulsive reactions
anxiety,medium,study,practice easy questions,motivation,Boosts self-efficacy
anxiety,high,deadline,remove distractions,focus,Reduces cognitive overload
anxiety,low,home,light household task,physical,Channels energy
anxiety,medium,work,positive self-talk statement,reflection,Improves emotional regulation
sadness,high,personal,journal thoughts,reflection,Emotional processing
sadness,medium,daily,listen to comforting music,rest,Provides emotional relief
sadness,low,home,tidy small area,focus,Restores sense of order
sadness,high,personal,write letter to self,reflection,Self-compassion practice
sadness,medium,study,review accomplishments,motivation,Improves mood
sadness,low,daily,take sunlight exposure,physical,Improves serotonin
sadness,high,social,message trusted person,social,Reduces isolation
sadness,medium,home,watch light content,rest,Emotional recovery
sadness,low,work,do easy task,focus,Prevents withdrawal
sadness,medium,daily,practice gratitude list,reflection,Improves emotional balance
loneliness,high,social,reach out to friend,social,Creates connection
loneliness,medium,home,join online community,social,Reduces isolation
loneliness,low,daily,comment positively online,social,Encourages interaction
loneliness,high,personal,write feelings down,reflection,Emotional clarity
loneliness,medium,work,work in shared space,social,Increases social presence
loneliness,low,home,care for pet or plant,reflection,Creates companionship
loneliness,medium,daily,listen to podcast voices,rest,Reduces perceived isolation
loneliness,high,study,study with peer,social,Shared effort
loneliness,medium,home,video call family,social,Maintains bonds
loneliness,low,daily,smile and posture reset,physical,Improves mood signals
tiredness,high,study,power nap 20 minutes,rest,Restores alertness
tiredness,medium,work,stand and stretch,physical,Improves circulation
tiredness,low,daily,hydrate,rest,Improves energy levels
tiredness,high,work,delay hard tasks,focus,Prevents errors
tiredness,medium,study,review notes passively,focus,Low cognitive load
